Date,HRV_ms,RHR_bpm,Sleep_Duration
11/30/2025,81,46,7:17
12/1/2025,82,52,7:44
12/2/2025,77,46,8:33
12/3/2025,81,46,8:15
12/4/2025,75,55,8:16
12/5/2025,88,54,8:51
12/6/2025,95,50,6:30
